variable,Year,value
SOYBEANS,1940,1254425
SOYBEANS,1935,862247
SOYBEANS,1930,152406
SOYBEANS,1925,
SOYBEANS,1920,
ALFALFA,2010,910000
ALFALFA,2009,950000
ALFALFA,2008,1200000
ALFALFA,2007,1130000
ALFALFA,2006,1230000
ALFALFA,2005,1280000
ALFALFA,2004,
ALFALFA,2003,
ALFALFA,2002,
ALFALFA,2001,
ALFALFA,2000,
ALFALFA,1999,
ALFALFA,1998,
ALFALFA,1997,
ALFALFA,1996,
ALFALFA,1995,
ALFALFA,1994,
ALFALFA,1993,
ALFALFA,1992,1367935
ALFALFA,1987,
ALFALFA,1982,1533650
ALFALFA,1978,1677954
ALFALFA,1974,
ALFALFA,1969,
ALFALFA,1964,
ALFALFA,1959,2320074
ALFALFA,1954,1714216
ALFALFA,1950,1062544
ALFALFA,1945,889474
ALFALFA,1940,810120
ALFALFA,1935,
ALFALFA,1930,456971
ALFALFA,1925,
ALFALFA,1920,
OATS,2010,75000
OATS,2009,95000
OATS,2008,75000
OATS,2007,66651
OATS,2006,110000
OATS,2005,125000
OATS,2004,140000
OATS,2003,130000
OATS,2002,143513
OATS,2001,130000
OATS,2000,180000
OATS,1999,175000
OATS,1998,185000
OATS,1997,214485
OATS,1996,190000
OATS,1995,225000
OATS,1994,430000
OATS,1993,225000
OATS,1992,367517
OATS,1987,544907
OATS,1982,811716
OATS,1978,871460
OATS,1974,
OATS,1969,
OATS,1964,
OATS,1959,4297628
OATS,1954,5912507
OATS,1950,6107439
OATS,1945,4644581
OATS,1940,4934719
OATS,1935,4434753
OATS,1930,5836126
OATS,1925,5702250
OATS,1920,5484113
RYE,2010,
RYE,2009,
RYE,2008,
RYE,2007,1009
RYE,2006,
RYE,2005,
RYE,2004,
RYE,2003,
RYE,2002,1771
RYE,2001,
RYE,2000,
RYE,1999,
RYE,1998,
RYE,1997,1725
RYE,1996,
RYE,1995,
RYE,1994,
RYE,1993,
RYE,1992,
RYE,1987,1867
RYE,1982,
RYE,1978,
RYE,1974,
RYE,1969,
RYE,1964,
RYE,1959,8899
RYE,1954,8608
RYE,1950,18225
RYE,1945,9576
RYE,1940,62862
RYE,1935,45169
RYE,1930,45097
RYE,1925,39430
RYE,1920,89458
WHEAT,2010,10000
WHEAT,2009,22000
WHEAT,2008,30000
WHEAT,2007,29512
WHEAT,2006,18000
WHEAT,2005,15000
WHEAT,2004,24000
WHEAT,2003,21000
WHEAT,2002,18317
WHEAT,2001,18000
WHEAT,2000,18000
WHEAT,1999,31000
WHEAT,1998,32000
WHEAT,1997,22758
WHEAT,1996,40000
WHEAT,1995,35000
WHEAT,1994,45000
WHEAT,1993,25000
WHEAT,1992,0
WHEAT,1987,31047
WHEAT,1982,98688
WHEAT,1978,31863
WHEAT,1974,59874
WHEAT,1969,42711
WHEAT,1964,99185
WHEAT,1959,164097
WHEAT,1954,7204
WHEAT,1950,382549
WHEAT,1945,112507
WHEAT,1940,367830
WHEAT,1935,293386
WHEAT,1930,421189
WHEAT,1925,446128
WHEAT,1920,1437743
CLOVER,2010,
CLOVER,2009,
CLOVER,2008,
CLOVER,2007,
CLOVER,2006,
CLOVER,2005,
CLOVER,2004,
CLOVER,2003,
CLOVER,2002,
CLOVER,2001,
CLOVER,2000,
CLOVER,1999,
CLOVER,1998,
CLOVER,1997,
CLOVER,1996,
CLOVER,1995,
CLOVER,1994,
CLOVER,1993,
CLOVER,1992,
CLOVER,1987,
CLOVER,1982,
CLOVER,1978,
CLOVER,1974,
CLOVER,1969,
CLOVER,1964,
CLOVER,1959,1174389
CLOVER,1954,2037060
CLOVER,1950,1960067
CLOVER,1945,2669374
CLOVER,1940,1779048
CLOVER,1935,
CLOVER,1930,3039800
CLOVER,1925,
CLOVER,1920,
SORGHUM,2010,
SORGHUM,2009,
SORGHUM,2008,
SORGHUM,2007,2113
SORGHUM,2006,
SORGHUM,2005,
SORGHUM,2004,
SORGHUM,2003,
SORGHUM,2002,2355
SORGHUM,2001,
SORGHUM,2000,
SORGHUM,1999,
SORGHUM,1998,
SORGHUM,1997,1299
SORGHUM,1996,
SORGHUM,1995,
SORGHUM,1994,
SORGHUM,1993,
SORGHUM,1992,0
SORGHUM,1987,11737
SORGHUM,1982,17888
SORGHUM,1978,30302
SORGHUM,1974,23053
SORGHUM,1969,48310
SORGHUM,1964,53203
SORGHUM,1959,90569
SORGHUM,1954,14995
SORGHUM,1950,8410
SORGHUM,1945,17223
SORGHUM,1940,80092
SORGHUM,1935,115642
SORGHUM,1930,115642
SORGHUM,1925,6505
SORGHUM,1920,30538
BARLEY,2010,
BARLEY,2009,
BARLEY,2008,
BARLEY,2007,
BARLEY,2006,
BARLEY,2005,
BARLEY,2004,
BARLEY,2003,
BARLEY,2002,
BARLEY,2001,
BARLEY,2000,
BARLEY,1999,
BARLEY,1998,
BARLEY,1997,
BARLEY,1996,
BARLEY,1995,
BARLEY,1994,
BARLEY,1993,
BARLEY,1992,6725
BARLEY,1987,6545
BARLEY,1982,
BARLEY,1978,
BARLEY,1974,
BARLEY,1969,
BARLEY,1964,
BARLEY,1959,27775
BARLEY,1954,23097
BARLEY,1950,29609
BARLEY,1945,5670
BARLEY,1940,525755
BARLEY,1935,359823
BARLEY,1930,601441
BARLEY,1925,135876
BARLEY,1920,236314
FLAX,2010,
FLAX,2009,
FLAX,2008,
FLAX,2007,
FLAX,2006,
FLAX,2005,
FLAX,2004,
FLAX,2003,
FLAX,2002,
FLAX,2001,
FLAX,2000,
FLAX,1999,
FLAX,1998,
FLAX,1997,
FLAX,1996,
FLAX,1995,
FLAX,1994,
FLAX,1993,
FLAX,1992,
FLAX,1987,
FLAX,1982,
FLAX,1978,
FLAX,1974,
FLAX,1969,
FLAX,1964,
FLAX,1959,11725
FLAX,1954,
FLAX,1950,109810
FLAX,1945,90794
FLAX,1940,100806
FLAX,1935,16352
FLAX,1930,12808
FLAX,1925,7889
FLAX,1920,9646
Other.Grains,2010,
Other.Grains,2009,
Other.Grains,2008,
Other.Grains,2007,
Other.Grains,2006,
Other.Grains,2005,
Other.Grains,2004,
Other.Grains,2003,
Other.Grains,2002,
Other.Grains,2001,
Other.Grains,2000,
Other.Grains,1999,
Other.Grains,1998,
Other.Grains,1997,
Other.Grains,1996,
Other.Grains,1995,
Other.Grains,1994,
Other.Grains,1993,
Other.Grains,1992,
Other.Grains,1987,
Other.Grains,1982,
Other.Grains,1978,
Other.Grains,1974,1276872
Other.Grains,1969,1774214
Other.Grains,1964,2247778
Other.Grains,1959,2947
Other.Grains,1954,31191
Other.Grains,1950,63998
Other.Grains,1945,8347
Other.Grains,1940,53700
Other.Grains,1935,69318
Other.Grains,1930,217045
Other.Grains,1925,
Other.Grains,1920,46412
Small.Grains.Hay,2010,
Small.Grains.Hay,2009,
Small.Grains.Hay,2008,
Small.Grains.Hay,2007,
Small.Grains.Hay,2006,
Small.Grains.Hay,2005,
Small.Grains.Hay,2004,
Small.Grains.Hay,2003,
Small.Grains.Hay,2002,
Small.Grains.Hay,2001,
Small.Grains.Hay,2000,
Small.Grains.Hay,1999,
Small.Grains.Hay,1998,
Small.Grains.Hay,1997,
Small.Grains.Hay,1996,
Small.Grains.Hay,1995,
Small.Grains.Hay,1994,
Small.Grains.Hay,1993,
Small.Grains.Hay,1992,
Small.Grains.Hay,1987,
Small.Grains.Hay,1982,93308
Small.Grains.Hay,1978,
Small.Grains.Hay,1974,2259243
Small.Grains.Hay,1969,2269783
Small.Grains.Hay,1964,3204613
Small.Grains.Hay,1959,29668
Small.Grains.Hay,1954,62029
Small.Grains.Hay,1950,121796
Small.Grains.Hay,1945,64679
Small.Grains.Hay,1940,292179
Small.Grains.Hay,1935,657997
Small.Grains.Hay,1930,104880
Small.Grains.Hay,1925,88480
Small.Grains.Hay,1920,46839
Irish.Potatoes,2010,
Irish.Potatoes,2009,
Irish.Potatoes,2008,
Irish.Potatoes,2007,
Irish.Potatoes,2006,
Irish.Potatoes,2005,
Irish.Potatoes,2004,
Irish.Potatoes,2003,
Irish.Potatoes,2002,
Irish.Potatoes,2001,
Irish.Potatoes,2000,
Irish.Potatoes,1999,
Irish.Potatoes,1998,
Irish.Potatoes,1997,
Irish.Potatoes,1996,
Irish.Potatoes,1995,
Irish.Potatoes,1994,
Irish.Potatoes,1993,
Irish.Potatoes,1992,
Irish.Potatoes,1987,
Irish.Potatoes,1982,
Irish.Potatoes,1978,
Irish.Potatoes,1974,2318
Irish.Potatoes,1969,1794
Irish.Potatoes,1964,2720
Irish.Potatoes,1959,2648
Irish.Potatoes,1954,3191
Irish.Potatoes,1950,8024
Irish.Potatoes,1945,16580
Irish.Potatoes,1940,50906
Irish.Potatoes,1935,92303
Irish.Potatoes,1930,76885
Irish.Potatoes,1925,78245
Irish.Potatoes,1920,97336
HayHaylage,1920,3574726
HayHaylage,1925,3944354
HayHaylage,1930,3614599
HayHaylage,1935,3093410
HayHaylage,1940,2961083
HayHaylage,1945,3463083
HayHaylage,1950,3080599
HayHaylage,1954,3913114
HayHaylage,1959,3564857
HayHaylage,1964,3204613
HayHaylage,1969,2269783
HayHaylage,1974,2259243
HayHaylage,1978,2317391
HayHaylage,1982,2035033
HayHaylage,1987,1968207
HayHaylage,1992,1762425
HayHaylage,1997,1575777
HayHaylage,2012,996316
HayHaylage,2007,1125565
HayHaylage,2002,1533027
HayHaylage,2016,1010000
HayHaylage,2015,1240000
HayHaylage,2014,1220000
HayHaylage,2013,1220000
HayHaylage,2017,1120000
HayHaylage,2018,995000
Agland,1920,33474896
Agland,1925,33280813
Agland,1930,34019332
Agland,1935,34359152
Agland,1940,34148673
Agland,1945,34453936
Agland,1950,34264639
Agland,1954,34161686
Agland,1959,33898181
Agland,1964,33758321
Agland,1969,33569629
Agland,1974,33044768
Agland,1978,33580851
Agland,1982,32611964
Agland,1987,31638130
Agland,1992,31346565
Agland,1997,32313119
Agland,2002,31729490
Agland,2007,30747550
Agland,2012,30622731
Agland,2017,30563878
Cropland,1920,
Cropland,1925,27147417
Cropland,1930,27720214
Cropland,1935,26984111
Cropland,1940,27547835
Cropland,1945,24942196
Cropland,1950,26049147
Cropland,1954,25981414
Cropland,1959,26532682
Cropland,1964,22942514
Cropland,1969,25707170
Cropland,1974,27013657
Cropland,1978,28270378
Cropland,1982,27580749
Cropland,1987,27290868
Cropland,1992,27195676
Cropland,1997,27713041
Cropland,2002,27153291
Cropland,2007,26316332
Cropland,2012,26256347
Cropland,2017,26545960
Pasture,1920,
Pasture,1925,9476720
Pasture,1930,9508644
Pasture,1935,11067553
Pasture,1940,9822964
Pasture,1945,8793952
Pasture,1950,8743569
Pasture,1954,7740469
Pasture,1959,6881559
Pasture,1964,6799909
Pasture,1969,6418258
Pasture,1974,5764822
Pasture,1978,5764822
Pasture,1982,
Pasture,1987,
Pasture,1992,
Pasture,1997,4256172
Pasture,2002,3639397
Pasture,2007,3144321
Pasture,2012,2478116
Pasture,2017,2360349
